   Internal  Switching    Leakage      Total
      Power      Power      Power      Power
--------------------------------------------
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _13491_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _14725_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _14728_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _14732_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _14733_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _14736_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _14895_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _14898_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _14899_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _14906_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _14786_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _14787_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _14792_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _14793_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _14796_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _14797_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _14800_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _14801_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _14804_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _14805_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _14809_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _14850_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _14855_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _14863_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _14866_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _14867_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _14871_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _14882_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _14883_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _14887_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _14890_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _14894_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _13543_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _13554_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _13555_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _13564_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _13571_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _13588_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _13611_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _13618_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _13623_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _13487_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _13488_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _13492_
   6.61e-07   2.21e-08   8.44e-12   6.83e-07 _13537_
   6.61e-07   2.16e-08   8.44e-12   6.83e-07 _13384_
   6.61e-07   2.16e-08   8.44e-12   6.83e-07 _13392_
   6.61e-07   2.16e-08   8.44e-12   6.83e-07 _13442_
   6.61e-07   2.16e-08   8.44e-12   6.83e-07 _13446_
   6.61e-07   2.16e-08   8.44e-12   6.83e-07 _13450_
   6.61e-07   2.19e-08   8.44e-12   6.83e-07 _14961_
   6.61e-07   2.19e-08   8.44e-12   6.83e-07 _14969_
