   Internal  Switching    Leakage      Total
      Power      Power      Power      Power
--------------------------------------------
   6.72e-07   7.23e-08   8.44e-12   7.44e-07 _16657_
   6.95e-07   4.91e-08   8.44e-12   7.44e-07 _15427_
   6.72e-07   7.21e-08   8.44e-12   7.44e-07 _16673_
   6.96e-07   4.83e-08   8.44e-12   7.44e-07 _15434_
   6.95e-07   4.91e-08   8.44e-12   7.44e-07 _15363_
   6.95e-07   4.91e-08   8.44e-12   7.44e-07 _15491_
   6.96e-07   4.83e-08   8.44e-12   7.44e-07 _15498_
   6.96e-07   4.83e-08   8.44e-12   7.44e-07 _15562_
   6.95e-07   4.91e-08   8.44e-12   7.44e-07 _15555_
   6.96e-07   4.83e-08   8.44e-12   7.44e-07 _15370_
   6.98e-07   4.57e-08   8.44e-12   7.44e-07 _15770_
   6.98e-07   4.57e-08   8.44e-12   7.44e-07 _15642_
   6.95e-07   4.91e-08   8.44e-12   7.44e-07 _15560_
   6.95e-07   4.91e-08   8.44e-12   7.44e-07 _15432_
   6.95e-07   4.91e-08   8.44e-12   7.44e-07 _15496_
   6.95e-07   4.91e-08   8.44e-12   7.44e-07 _15368_
   6.95e-07   4.91e-08   8.44e-12   7.44e-07 _15559_
   6.98e-07   4.57e-08   8.44e-12   7.44e-07 _15834_
   6.95e-07   4.91e-08   8.44e-12   7.44e-07 _15495_
   6.98e-07   4.57e-08   8.44e-12   7.44e-07 _15706_
   6.95e-07   4.91e-08   8.44e-12   7.44e-07 _15367_
   6.95e-07   4.91e-08   8.44e-12   7.44e-07 _15431_
   6.95e-07   4.91e-08   8.44e-12   7.44e-07 _15503_
   6.95e-07   4.91e-08   8.44e-12   7.44e-07 _15507_
   6.94e-07   4.91e-08   8.44e-12   7.44e-07 _15571_
   6.94e-07   4.91e-08   8.44e-12   7.44e-07 _15443_
   6.94e-07   4.91e-08   8.44e-12   7.44e-07 _15439_
   6.94e-07   4.91e-08   8.44e-12   7.44e-07 _15379_
   6.94e-07   4.91e-08   8.44e-12   7.44e-07 _15511_
   6.94e-07   4.91e-08   8.44e-12   7.44e-07 _15375_
   6.94e-07   4.91e-08   8.44e-12   7.44e-07 _15447_
   6.94e-07   4.91e-08   8.44e-12   7.43e-07 _15567_
   6.94e-07   4.91e-08   8.44e-12   7.43e-07 _15487_
   6.94e-07   4.91e-08   8.44e-12   7.43e-07 _15575_
   6.94e-07   4.91e-08   8.44e-12   7.43e-07 _15383_
   6.94e-07   4.91e-08   8.44e-12   7.43e-07 _15551_
   6.94e-07   4.91e-08   8.44e-12   7.43e-07 _15423_
